"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2019년 11월","S-OIL","일반","2145.00","1978.00","1826.00","0.00"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2019년 12월","S-OIL","일반","2145.00","1978.00","1826.00","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2019년 07월","S-OIL","셀프","0.00","1529.00","1399.00","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2019년 08월","S-OIL","셀프","0.00","1529.00","1399.00","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2019년 09월","S-OIL","셀프","0.00","1573.33","1433.33","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2019년 10월","S-OIL","셀프","0.00","1579.00","1438.03","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2019년 11월","S-OIL","셀프","0.00","1567.67","1423.67","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2019년 12월","S-OIL","셀프","0.00","1591.90","1435.45","0.00"
"A0001214","서울 강남구","삼성동주유소","서울 강남구 테헤란로 619 (삼성동)","2019년 07월","SK에너지","일반","2166.48","1976.48","1833.58","0.00"
"A0001214","서울 강남구","삼성동주유소","서울 강남구 테헤란로 619 (삼성동)","2019년 08월","SK에너지","일반","2175.90","1986.10","1839.39","0.00"
"A0001214","서울 강남구","삼성동주유소","서울 강남구 테헤란로 619 (삼성동)","2019년 09월","SK에너지","일반","2188.87","1998.87","1883.20","0.00"
"A0001214","서울 강남구","삼성동주유소","서울 강남구 테헤란로 619 (삼성동)","2019년 10월","SK에너지","일반","2189.00","1999.00","1887.58","0.00"
"A0001214","서울 강남구","삼성동주유소","서울 강남구 테헤란로 619 (삼성동)","2019년 11월","SK에너지","일반","2189.00","1999.00","1884.60","0.00"
"A0001214","서울 강남구","삼성동주유소","서울 강남구 테헤란로 619 (삼성동)","2019년 12월","SK에너지","일반","2189.00","1999.00","1897.71","0.00"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2019년 07월","GS칼텍스","일반","1947.41","1595.93","1477.66","1296.00"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2019년 08월","GS칼텍스","일반","1975.00","1578.00","1478.00","1296.00"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2019년 09월","GS칼텍스","일반","2005.00","1648.13","1507.33","1303.85"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2019년 10월","GS칼텍스","일반","2045.00","1664.77","1522.03","1330.00"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2019년 11월","GS칼텍스","일반","2045.00","1658.00","1518.00","1330.00"
