미래 기술의 핵심…삼성·LG 인공지능 저변 확대 나서
"하나은행, 은행권 첫 모바일 '인공지능 뱅커' 도입"
"금융위, 인공지능 활용 활성화 간담회"
"청도 중앙초, 인공지능(AI)교육 여름방학 캠프"
"SW연구소 AI융합교육센터 취·창업자, 인공지능 관련 대학원 진학자 배출"
"가톨릭대-마인드허브, 뇌신경 환자 언어재활 인공지능 학습 모델 연구 협약"
광주디자인진흥원-인공지능사업융합사업단 맞손
인공지능이 CCTV에서 아이 학대 증거 찾는다
"광주시, 인공지능 스타트업 투자유치 설명회 참여 기업 모집"
"뉴워커, 슈퍼브AI와 인공지능 학습 데이터 구축 맞손"
"[캠퍼스人+스토리]KAIST, 자가발전 흉부X선 인공지능 진단기술 개발"
"KB국민은행, 인공지능으로 기업여신 자동심사"
"가톨릭대-㈜마인드허브, 언어장애 재활 인공지능 개발 나서"
"대전시, 돌봄 대상 어르신에 인공지능 말동무 로봇 꿈돌이 지원"
'교육기부 진로체험 인증기관' 모집…반도체·인공지능 등 확대
"뉴워커-슈퍼브AI, 인공지능 학습 데이터 구축 MOU 체결"
지자체 AI(인공지능) 영재고 유치 '불꽃경쟁'
동의대 인공지능그랜드ICT연구센터 몽골국제대와 업무 협약
"대전시, 철도 시설물 이상징후 인공지능으로 감시"
"네이버클라우드, 미래에셋증권과 인공지능 금융 서비스 협력"
"KAIST, 흉부 엑스선 인공지능 진단기술 개발"
"인천시, 홀로사는 중장년 5000가구 인공지능(AI)으로 돌본다"
"광주디자인진흥원, 인공지능산업융합사업단과 MOU 체결"
'게임 덕후 주목'…인공지능이 그려낸 고전 명작 게임 캐릭터들
"인공지능의 악용 사례, 딥페이크 기술과 과제"
"""인공지능으로 신속정확하게 강직척추염 조기 진단"""
"대전시, 인공지능 말동무 돌봄로봇 자치구 입양식 개최"
"대전시, 인공지능 활용 철도시설 실시간 점검기술 개발 추진"
"전북대 인공지능·소프트웨어공학 학생들, 학술대회 수상"
"ETRI, 2024년까지 인공지능 분야 국제표준화 청사진 제시한다"
"인공지능 물류 스타트업 '바이너리브릿지', Pre-A 시리즈 44억원 투자 유치....."
"레이놀즈, 인공지능 탑재 “프리미엄 스마트 줄넘기 출시”"
"뉴워커, 슈퍼브AI와 인공지능 학습 데이터 구축 업무협약 체결"
"스페이스 에스, 대전 대덕특구 '인공지능 기술창업' 생태계 구축"
"순천향대천안병원, 인공지능과 사물인터넷 활용 '정신질환자 예측시스템 개발..."
"ETRI, 인공지능 국제표준화 주도권 확보"
"조달청, 인공지능 기반 공공SW사업 발주지원시스템 오픈...제안요청서 자동생..."
"TTA, ‘인공지능 제품‧서비스 신뢰성 확보 컨설팅’ 제공"
"결혼도 스마트하게…하동군, 인공지능(AI)로 미혼남녀 '맺어주기' 플랫폼 개발"
"[Pangyo Tech] 미스터마인드, 2022년 7월 'Pangyo Monthly Online Meet Up'서..."
[리뷰] 인공지능 품은 짐벌 웹 캠 '인스타360 링크'
"한-아르헨티나, 인공지능·5G·사물인터넷 등 ICT 협력 강화"
"과기정통부, 세계이동통신사연합회와 인공지능 반도체·메타버스 스타트업 지..."
일상 속 수학…산업 속 수학 <7> 수학과 인공지능 알고리즘
"대전시, 인공지능 말동무 돌봄 로봇 자치구 입양식"
"뷰노, 국제학술지에 인공지능 기반 심전도 분석 기술 게재"
"카뱅-에프앤가이드, 금융 콘텐츠 인공지능 모델 공동 개발"
딥러닝 인공지능으로 강직척추염 조기진단
인공지능 AI가 그려낸 지구 멸망 전 인간들의 마지막 모습은 이렇다
인공지능으로 강직척추염 조기 진단 모델 개발
"KT-네오랩컨버전스, 에듀테크 인공지능 공동연구 업무협약"
"장성군, '인공지능(AI) 말동무 인형 지원사업' 시범적 추진"
"AI가 기자보다 기사를 잘 쓴다? | 인공지능은 보조일 뿐, 失業 걱정은 기우…..."
"중앙대 인문콘텐츠연구소, 제5회 인공지능인문학 국제학술대회 ICAIH 2022 성..."
소아 희귀질환 의료 인공지능 민관합동 개발
"한수원, 수소 전주기·인공지능 기술 연구 '본격화'"
"와인과 과학기술, '인공지능(AI)'을 활용한 다양한 연구 활발"
"KB증권, 인공지능 기술 적용한 'AI상담 콜봇' 서비스 제공"
"UNIST-KISTI, '슈퍼컴퓨팅 청소년캠프 2022'... 인공지능 구현, 경기 교하고와..."
"대전시, 인공지능 활용해 철도 시설물 이상 징후 감시"
인공지능 기반 자궁경부암 판독 시스템 '써비레이 AI' 전국 93개 산부인과 병...
"인공지능·로봇, 건설산업 디지털화 견인"
[소통 하동] 인공지능 미혼남녀 연계플랫폼 개발 완료
"ETRI, 인공지능 국제표준화 주도 나선다"
[금요광장] 인공지능과 더불어 사는 미래
"시흥교육지원청, 인공지능 융합교육 활성화 지원 강화"
스스로 진화하는 '흉부 엑스선 인공지능 진단기술' 개발
얼굴인식 인공지능 식별추적 헌법소원 기자회견
하나은행 모바일 앱에 인공지능 은행원 도입...어떤 역할하나?
"인천시, 홀몸 중장년 5000 가구 인공지능(AI)으로 돌본다"
"테라젠바이오, '소아희귀질환 인공지능' 솔루션 개발 사업자 선정"
"하동군, 인공지능(AI) 미혼남녀 연계플랫폼 전국 지자체 첫 도입"
"광주광역시의회, 인공지능 전문가 초청 강연 진행"
"카이스트 이성주 교수팀, 스마트폰 위 인공지능(AI) 연합학습 속도 4.5배 획기..."
"라온메디, 인공지능 활용 국가연구개발사업 주관기업 선정"
"대전시, 인공지능 말동무 돌봄로봇 자치구 입양식 가져"
[이종호의 포스트 펜데믹 로드맵-54] 인공지능 로봇의 딜레마
"가톨릭대-마인드허브, 뇌신경 환자 언어재활 위한 인공지능 연구한다"
"에이아이런, '챗봇과 함께하는 인공지능 윤리 교육' 무료 배포"
인공지능 응용 가전제품 안전관리 지침 개발 세미나
반도체·인공지능·코딩…첨단 분야 '진로체험 프로그램' 확대
"김강민 가톨릭대 교수, 전자의무기록 인공지능 기술 개발 나서"
"인공지능 사회‧윤리적 위험에 대응한다!... 과기정통부-TTA, 'AI 제품‧서비..."
"대전시, 철도 시설물 ‘이상 징후’ 인공지능이 감시"
"일상의 인공지능 친구 'A.(에이닷)'...신규 서비스 탑재, 안드로이드 버전 27..."
"장성군, 인공지능(AI) 말동무 인형 지원사업 추진"
시쓰는 인공지능 시아(SIA)의 시들로 구성하여 만든 시극 '파포스'
"하동군, 인공지능(AI) 미혼남녀 연계 플랫폼 'AI 맞썸다(多)방' 개발 완료"
"테라젠바이오 ""소아희귀질환 진단 인공지능 개발 사업자 선정"""
"특허청, '인공지능 지재권 역량 강화' 중소·벤처기업 간담회"
"과기정통부 “첨단 반도체 공정 서비스, 인공지능·데이터기반 제공”"
"오산문화스포츠센터, 인공지능 로봇 시설 안내한다"
"중앙대 인문콘텐츠연구소, '인공지능인문학 국제학술대회 ICAIH 2022'"
인공지능(AI) 기반 '문장 검색 방법·장치' 특허 등록
"[게시판] JTBC, 한국기술교육대와 인공지능 활용 업무협약"
광주디자인진흥원-인공지능융합사업단 협약
인공지능 활용 반려동물 질병 진단한다
어린이집·유치장·야간도로에 인공지능 CCTV 도입추진
"동아ST, 인공지능 활용 폐암 신약 연구 정부과제 선정"
"라온메디, 인공지능 활용 '국가연구개발사업' 주관기업 선정"
남해군 ‘인공지능 통합 돌봄 서비스’ 확대 시행
"KT, 네오랩컨버전스와 MOU…에듀테크·인공지능 기술 연구"
"""AI 산업육성 힘 모으자"" 중진공-인공지능사업단 `맞손'"
"중앙대 인문콘텐츠연구소, 제5회 인공지능인문학 국제학술대회 ICAIH 2022 성..."
"대전AI교육지원체험센터, 인공지능(AI)교육 교원연수"
"가톨릭대, ㈜마인드허브와 뇌신경 환자 언어재활 위한 인공지능 연구 나서"
"김치 품질, 인공지능으로 관리한다"
"제이엘케이, 인공지능 치료 정보 등 유사 문장 검색 위한 특허 등록"
"영상 속 3차원 '깊이 정보', 인공지능 알고리즘으로 더 빠르게 정확히 알아낸..."
"대전시, 인공지능으로 철도시설물 안전 관리한다"
"인천시, 8월부터 비대면 인공지능(AI) 케어콜 돌봄서비스 실시"
"남해군, ICT연계 인공지능 통합돌봄사업 확대"
"의료 마이데이터 플랫폼 비헬씨, 한국인공지능협회와 첫 판매 계약 체결"
"TVM, 스포피드와 인공지능 딥러닝 적용한 라리가 메타버스 업무 협약"
'인공감성지능' AEI 소재로 한 연극 '로디드 모먼트' 대학로서 상연
"부산디자인진흥원, 인공지능 기술 융합한 스타일테크 산업 '청신호'"
[김병필의 인공지능 개척시대] 진짜 같은 가짜 데이터로 인공지능 가르치기
인공지능으로 입시 서류를 검증하자
"엣지 AI 기업 '노타', 대전시에 인공지능 기반 안전 횡단보도 구축한다"
"대통령실 보안, 인공지능이 책임진다"
"대전시, 철도시설물 이상 징후 인공지능으로 감시한다"
"인천시, 홀로사는 중장년 5천 가구 인공지능(AI)으로 돌본다"
“안 배워도 알아요”…흉부 엑스선 족집게 판독하는 ‘똑똑한 인공지능’ 개...
"SKT, 용접 오류 판별 인공지능"
인공지능 활용 소아희귀질환 치료 나선다
"광주시, 5개 인공지능 기업과 투자협약…마케팅 연구소 구축"
"LG 인공지능 아티스트 '틸다', 세계 광고제 뉴욕 페스티벌 휩쓸다"
"카이스트, 스스로 진화하는 흉부 엑스선 인공지능 진단기술 개발"
‘인공지능 대가’가 무보수로 신약개발 연구소장 맡은 까닭은
"인천시, 홀로사는 중장년 5000가구 인공지능으로 돌본다"
"JTBC, 보도국 돕는 '인공지능' 도입…한국기술교육대와 MOU"
"특허청, 인공지능 관련 특허정보 제공…심사 개선의견 청취"
"LG유플러스, 근로복지공단 민원업무 인공지능 적용"
"대전시, 데이터·인공지능 기반 스마트도시 조성 실무협의회 구성"
"세종대 김수연 교수, 2년 연속 인공지능 학습용 데이터 구축 사업 선정"
"""챗봇 지고 예측 분석 뜬다"" 2022 국내 인공지능 도입 및 활용 현황 조사 - M..."
"동아ST·심플렉스·연세암병원팀, 인공지능 활용 혁신신약 발굴"
목포대 조선공학 졸업 김현준 씨 “기계공학·인공지능 융합…신재생에너지 산...
"첨단 반도체 공정 서비스, 인공지능·데이터기반 제공"
"'AI(인공지능), 4차산업시대'...국내 언론사 콘텐츠 제공방식은 '게걸음' 수준"
"함양군, ICT 연계 인공지능 통합돌봄사업 확대"
"와이즈에이아이, 인공지능 개인비서 앱 'AI-ME' B2C 공략 본격화"
데이터·인공지능 기반 '스마트도시 대전' 밑그림
"AI 챗봇 ‘심심이’, 인공지능 및 빅데이터 연구자를 위해 데이터 공개"
"가톨릭대, 마인드허브와 뇌신경 환자 언어재활 위한 인공지능 연구"
인공지능 딥러닝으로 강직척추염 조기 진단 모델 개발
"광주시, 수도권 인공지능 유망기업과 투자협약"
"대전시, 도시철도시설물 이상징후 인공지능으로 감시한다"
"뷰노, 마이허브에 7억 의료인공지능 솔루션 공급"
"KAIST 김재철AI대학원, 인공지능 'CAIO 과정' 높은 참여와 호응... 3기 모집으..."
"엣지 인공지능과 로보틱스 애플리케이션, 보다 쉬고 빠르게...엔비디아 젯슨 ..."
인공지능으로 '9대 소아희귀질환' 치료에 희망준다!
[해군] 미래 안보환경에 맞춘 인공지능·무인체계 발전 방향 모색
"대전시, 인공지능(AI) 말동무 '돌봄로봇 꿈돌이' 입양식 가져"
"포항시, 인공지능 인재양성 첫 발 내딛는다"
딥러닝 인공지능으로 '강직척추염' 조기진단 입증
"인공지능 감성 챗봇 대표기업 '심심이', 초거대 대화 데이터셋 150억건 공개!..."
"셀타스퀘어, 인공지능을 이용한 약물방법과 장치에 대한 특허 등록"
대전시 철도 시설물 이상징후 인공지능으로 감시한다
"한수원, 한강 수위예측 인공지능(AI) 경진대회 개최"
"크라우드웍스, TTA '인공지능 학습용 데이터 검사' 수행사 2년 연속 선정"
"의병박물관, 인공지능 전시해설 로봇 도입…해설과 방역을 동시에"
