"KT, EBS와 함께 AI 인재 육성한다"
"‘의사만큼 똑똑한’ 뇌출혈 전문 AI 의사, 이번엔 울릉도로 향한다"
"""신사업·인재 발굴""…포스코그룹, 'AI 기술 자문위원회' 운영"
"금융위 ""가명정보 재사용 허용""…'AI 데이터 라이브러리' 만든다"
"[게시판] 에프앤가이드·리퍼블릭케이·연세대, AI 업무협약"
"윤선생, AI 영어 말하기 이벤트 '말하톤 대회' 개최"
"포스코그룹, AI기술 자문위원회 신설"
"삼진제약, 사이클리카와 AI 신약개발 공동연구 계약 체결"
"서울시, KAIST AI 대학원과 협력…'최고급 AI 개발자 양성 교육' 프로그램 지..."
"“철강도 AI 도입”…포스코, 인공지능 기술 위원회 신설"
"KT, EBS와 함께 'SW·AI 인재' 키운다"
"KT-NIPA, AI·DX 인재 양성 위해 디지털 분야 교육 혁신"
"금융위 ""금융권 공유 AI 데이터 라이브러리 구축 지원"""
AI가 시를 쓴다고?...카카오브레인이 개발한 '시인 AI' 첫 작품 나온다
"삼진제약, 신약개발 속도…AI 개발 플랫폼과 협업"
"""美, AI칩 설계·제조 핵심 소프트웨어 中수출금지 추진"""
"‘금융 데이터 도서관’ 만든다… 금융위, ‘금융 AI 혁신’ 박차"
"""치매예방""…SK케미칼, 36개 기관에 AI기반 인지개선 프로그램 보급"
금융에 스며드는 AI…활성화 정책도
"[IR52 장영실상] 삼성전자, '로봇청소기 비스포크 제트봇 AI'"
화성시 새솔동 등 AI 자원회수기기 9곳 시범 운영
"SK㈜ C&C 'AI 뇌출혈 영상의료 솔루션', 울릉도 환자 돕는다"
"삼성전자·SK하이닉스, AI 반도체로 '초격차 경영 속도'"
"리퍼블릭케이·에프앤가이드·연세대, 'AI로 금융시장 연구' 협약"
"KT, EBS와 함께 AI 인재 육성"
동강대 AI 기반 맞춤형 토익 프로그램
"`금융 AI 데이터 라이브러리` 구축된다…""가명정보 재사용 허용"""
"AI 검사 설비 전문기업 트윔, 에너지 산업 분야 50억 원 규모 수주"
SK케미칼 '치매예방 AI서비스' 노인센터에 지원
빅데이터ㆍAI 활용 고위험 수입식품 선별한다
"포스코그룹, AI기술 자문위 신설…전문가 20명으로 구성"
"포스코그룹, AI기술 자문위원회 신설…전문가 20여명 참여"
"화성시, 'AI자원회수기기 설치' 시범운영"
"KT, NIPA와 ICT 벤처 육성 및 AI·디지털전환 인재 양성 공동 추진"
"KB증권, 시간·장소 제약없는 'AI 상담 콜봇' 서비스 오픈"
"조선대, 화정중서 'AI‧SW 여름방학 아카데미' 진행"
시드투자…의료 AI 로봇 '코넥티브'·푸드헬스 '마음영양'
"SK C&C, 울릉군보건의료원에 'AI 뇌출혈 영상 의료 솔루션' 공급"
"KT, EBS와 함께 'AI 인재' 육성한다"
"리빌더AI, 가상공간 구축위해 메가플랜과 MOU 체결"
"괴산군도 AI영재고 유치전 가세…군의회, 건의문 채택"
"DL이앤씨, AI·360도 카메라 기반 현장관리기법 '디비전' 도입"
"AI 신약개발, ‘빨리빨리’ 안되는 이유 있다…“정확도⋅상업성에 초점 맞춰..."
SK C&C 'AI 뇌출혈 영상 진단'…울릉도 응급환자 돕는다
"KAIST, AI 반도체 생태계 선도...관련 세계 학회 종횡무진"
"""충무대교 배회하면 수상해""…통영시 AI로 자살시도자 구조"
"포스코그룹, AI와 더 가깝게…AI기술 자문委 신설"
AI가 설명도 한다고?
"KB증권, AI 음성상담 콜봇 서비스 제공"
충북 4개 시·군 AI영재고 유치전 후끈…의회도 가세
'AI 영재고 괴산군 유치 건의문' 채택
"3D 모델링 AI 솔루션 전문기업 리빌더AI, 메가플랜과 MOU 체결"
"금융위, 금융분야 AI 활성화 나선다…""규제 적극 해소"""
"김소영 부위원장 ""빅데이터·AI 활용 지원…금융규제 혁신"""
'농산물 가격 예측 AI 경진대회’ 개최
"파수, 비식별 솔루션에 AI 기술 탑재…“분류 정확도 강화”"
"KB증권, ""AI가 고객에 전화 걸어 상담진행한다"""
"GS네오텍, AI 기반 보안솔루션 서비스 ‘사이트디펜더’ 출시"
"SK케미칼, 치매 해결 위한 AI기반 인지개선 프로그램 보급 시작"
"롯데정보통신, 보안 AI로 지능형 위협 차단"
스타트업 손잡은 교육업계…AI 기술 도입 에듀테크 강화
"KT-강동경희대병원, AI 로봇 의료서비스 개발 협약 맺어"
"삼성전자, '2022 삼성 AI 챌린지' 개최...대학·대학원생 대상"
[주간VC동향] 인공지능(AI) 스타트업 마크비전 260억원 규모 시리즈A 투자 유...
"이글루, KISA 사이버보안 AI 데이터셋 구축 사업 수주"
"카카오 AI, '시'도 쓴다"
"AI 은행원이 대출 심사까지…""금융빅데이터·AI활용 막는 규제 혁신"""
韓国の大学・大学院生を対象に「2022サムスンAIチャレンジ」開催
‘AI 돌봄 인형’ 독거 노인 든든한 벗
'가명정보 재사용' AI 데이터 라이브러리 구축
"KB證, 시간·장소 제약 없는 ‘AI 상담 콜봇’ 서비스 시행"
"전북교육청, AI기반 학생맞춤형 수업 전체 학교로 확산"
삼성전자 '2022 삼성 AI 챌린지' 개최
"금융위 ""빅데이터·AI 활용 지원…금융규제 혁신"""
"허송연 아나, 은행원 됐다?…""AI휴먼 모델 계약후 AI뱅커로 활약"""
"김소영 부위원장 ""금융규제 혁신해 빅데이터·AI 활성화해야"""
"KB증권, 'AI 상담 콜봇' 서비스 선봬"
"화성시, AI 자원회수기기로 재활용률 높인다"
"KT, EBS와 AI 인재 육성 위해 MOU 체결  "
[#IT라운지] 통신 4사 '업무협약'·SK C&C 'AI의료솔루션' 제공
"삼진제약, 캐나다 사이클리카와 AI 신약개발 공동연구 계약"
한줄? 두줄? 애매한 임테기…AI는 안다 99.9% 확률로
"“300회 이상 실증, AI와 위성, 암호통신까지…UAM 경쟁사보다 우위”"
"KT, EBS 맞손…SW·AI 100만 인재 양성"
‘AI 반도체’ 기술패권 전쟁시대…KAIST ‘초격차기술’ 확보 나선다
"금융위, 디지털 금융혁신…빅데이터-AI 활용 활성화한다"
"딥브레인AI, 하나은행 하나원큐에 'AI뱅커' 공급"
"DL이앤씨, AI 360도 카메라 기반 ‘디비전’ 도입"
"""AI반도체 집적단지 조성 등 힘 모으자"""
"KT, EBS와 SW·AI 학습환경 제공 위한 MOU 체결"
 ‘AI 뇌출혈 영상 의료 솔루션’으로 울릉도 응급환자 돕는다
"KB증권, AI 상담 콜봇 서비스 오픈"
"인공지능으로 미래가치 높인다…포스코그룹, AI 기술 자문위원회 신설"
"GS네오텍, AI 기반의 보안솔루션 서비스 ‘사이트디펜더’ 출시"
자율주행 시스템용 AI 스타트업 '퍼셉티브 오토마타' 좌초
AI 배우고 싶다면?…EBS에서 KT 'AI 코디니'로 공부하자
"KB증권, 시간·장소 제약없이 'AI 상담' 받는다"
"포스코그룹, AI 기술 자문위원회 신설…""미래전략 수립 기대"""
"리빌더AI-메가플랜, 가상공간 구축 맞손"
"SK케미칼, AI 인지개선 '사운드마인드' 노인보호센터 보급"
"경북교육청, 누구나 가능한 SW-AI교육 기반 마련"
"에프앤가이드·리퍼블릭케이·연세대, AI 금융투자 연구 나선다"
"""포토샵 저리가!""...차세대 이미지 편집 AI 출시"
"괴산군의회 ""AI 영재고 유치 생존 문제""…건의문 채택"
"에듀윌, 인공지능 합격비서 'AI-Pass' 추진…AI 합격진단 예측 서비스 선오픈"
"포스코그룹, AI 기술 자문위원회 신설… '학계위원회' 킥오프 미팅"
"울산대, 맞춤형 AI 인력양성과정 수료식"
"KB증권, 고객 편의 증대 위한 'AI 상담 콜봇' 서비스 오픈"
